source,Date
NFXD,2021-05-13
MTXD,2021-05-13
CPXD,2021-05-13
KNXD,2021-05-13
TLXD,2021-05-13
TPXD,2021-05-13
NCXD,2021-05-13
MKXD,2021-05-13
GLXD,2021-05-13
MCXD,2021-05-13
TPXD,2021-05-14
KNXD,2021-05-14
NFXD,2021-05-14
KKXD,2021-05-14
MTXD,2021-05-14
GLXD,2021-05-14
TLXD,2021-05-14
NCXD,2021-05-14
MKXD,2021-05-14
MCXD,2021-05-14
CPXD,2021-05-14
NFXD,2021-05-17
GLXD,2021-05-17
TPXD,2021-05-17
KNXD,2021-05-17
MTXD,2021-05-17
MCXD,2021-05-17
MKXD,2021-05-17
CPXD,2021-05-17
TLXD,2021-05-17
KKXD,2021-05-17
NCXD,2021-05-17
MTXD,2021-05-18
NCXD,2021-05-18
TPXD,2021-05-18
MCXD,2021-05-18
KKXD,2021-05-18
CPXD,2021-05-18
KNXD,2021-05-18
GLXD,2021-05-18
NFXD,2021-05-18
MKXD,2021-05-18
TLXD,2021-05-18
MTXD,2021-05-19
CPXD,2021-05-19
MKXD,2021-05-19
GLXD,2021-05-19
KKXD,2021-05-19
KNXD,2021-05-19
NFXD,2021-05-19
NCXD,2021-05-19
MCXD,2021-05-19
TLXD,2021-05-19
TPXD,2021-05-19
NCXD,2021-05-20
KNXD,2021-05-20
GLXD,2021-05-20
MCXD,2021-05-20
MKXD,2021-05-20
CPXD,2021-05-20
TPXD,2021-05-20
TLXD,2021-05-20
MTXD,2021-05-20
KKXD,2021-05-20
NFXD,2021-05-20
CPXD,2021-05-21
NCXD,2021-05-21
MTXD,2021-05-21
JKLF,2021-05-21
KNXD,2021-05-21
KKXD,2021-05-21
MKXD,2021-05-21
QRSTF,2021-05-21
UVWF,2021-05-21
XYZF,2021-05-21
NFXD,2021-05-21
TLXD,2021-05-21
TPXD,2021-05-21
MNOF,2021-05-21
DEFF,2021-05-21
MCXD,2021-05-21
GLXD,2021-05-21
ABCF,2021-05-21
GHIF,2021-05-21
CPXD,2021-05-24
NFXD,2021-05-24
MTXD,2021-05-24
TLXD,2021-05-24
NCXD,2021-05-24
TPXD,2021-05-24
GLXD,2021-05-24
KKXD,2021-05-24
KNXD,2021-05-24
MCXD,2021-05-24
MKXD,2021-05-24
MCXD,2021-05-25
NFXD,2021-05-25
KKXD,2021-05-25
MTXD,2021-05-25
CPXD,2021-05-25
MKXD,2021-05-25
KNXD,2021-05-25
GLXD,2021-05-25
TPXD,2021-05-25
NCXD,2021-05-25
TLXD,2021-05-25
KKXD,2021-05-26
GLXD,2021-05-26
MCXD,2021-05-26
NCXD,2021-05-26
KNXD,2021-05-26
TPXD,2021-05-26
TLXD,2021-05-26
CPXD,2021-05-26
MKXD,2021-05-26
MTXD,2021-05-26
NFXD,2021-05-26
MKXD,2021-05-27
GLXD,2021-05-27
NCXD,2021-05-27
KNXD,2021-05-27
TPXD,2021-05-27
CPXD,2021-05-27
MTXD,2021-05-27
NFXD,2021-05-27
TLXD,2021-05-27
KKXD,2021-05-27
MCXD,2021-05-27
NCXD,2021-05-28
MCXD,2021-05-28
MTXD,2021-05-28
KKXD,2021-05-28
CPXD,2021-05-28
GLXD,2021-05-28
MKXD,2021-05-28
TPXD,2021-05-28
TLXD,2021-05-28
KNXD,2021-05-28
NFXD,2021-05-28
MKXD,2021-05-31
TPXD,2021-05-31
KKXD,2021-05-31
TLXD,2021-05-31
MCXD,2021-05-31
MTXD,2021-05-31
NFXD,2021-05-31
NCXD,2021-05-31
GLXD,2021-05-31
KNXD,2021-05-31
CPXD,2021-05-31
UVWM,2021-06-01
MKXD,2021-06-01
NCXD,2021-06-01
QRSTM,2021-06-01
CPXD,2021-06-01
GHIM,2021-06-01
JKLM,2021-06-01
DEFM,2021-06-01
KNXD,2021-06-01
ABCM,2021-06-01
TPXD,2021-06-01
MCXD,2021-06-01
XYZM,2021-06-01
NFXD,2021-06-01
TLXD,2021-06-01
MNOM,2021-06-01
KKXD,2021-06-01
MTXD,2021-06-01
GLXD,2021-06-01
TPXD,2021-06-02
NFXD,2021-06-02
KNXD,2021-06-02
MCXD,2021-06-02
MKXD,2021-06-02
GLXD,2021-06-02
NCXD,2021-06-02
MTXD,2021-06-02
KKXD,2021-06-02
CPXD,2021-06-02
TLXD,2021-06-02
TPXD,2021-06-03
NFXD,2021-06-03
MCXD,2021-06-03
KNXD,2021-06-03
MKXD,2021-06-03
KKXD,2021-06-03
NCXD,2021-06-03
MTXD,2021-06-03
TLXD,2021-06-03
GLXD,2021-06-03
CPXD,2021-06-03
CPXD,2021-06-04
ABCF,2021-06-04
MTXD,2021-06-04
TPXD,2021-06-04
XYZF,2021-06-04
NFXD,2021-06-04
JKLF,2021-06-04
DEFF,2021-06-04
QRSTF,2021-06-04
GHIF,2021-06-04
MNOF,2021-06-04
KNXD,2021-06-04
MKXD,2021-06-04
KKXD,2021-06-04
GLXD,2021-06-04
UVWF,2021-06-04
NCXD,2021-06-04
TLXD,2021-06-04
MCXD,2021-06-04
MCXD,2021-06-07
TPXD,2021-06-07
KNXD,2021-06-07
CPXD,2021-06-07
MKXD,2021-06-07
GLXD,2021-06-07
NFXD,2021-06-07
MTXD,2021-06-07
KKXD,2021-06-07
TLXD,2021-06-07
NCXD,2021-06-07
MCXD,2021-06-08
GLXD,2021-06-08
NCXD,2021-06-08
MTXD,2021-06-08
KKXD,2021-06-08
CPXD,2021-06-08
MKXD,2021-06-08
TLXD,2021-06-08
NFXD,2021-06-08
TPXD,2021-06-08
KNXD,2021-06-08
KNXD,2021-06-09
CPXD,2021-06-09
MCXD,2021-06-09
TPXD,2021-06-09
MKXD,2021-06-09
MTXD,2021-06-09
TLXD,2021-06-09
NCXD,2021-06-09
GLXD,2021-06-09
NFXD,2021-06-09
KKXD,2021-06-09
MTXD,2021-06-10
KKXD,2021-06-10
MCXD,2021-06-10
CPXD,2021-06-10
GLXD,2021-06-10
NFXD,2021-06-10
TLXD,2021-06-10
NCXD,2021-06-10
MKXD,2021-06-10
KNXD,2021-06-10
TPXD,2021-06-10
MKXD,2021-06-11
MCXD,2021-06-11
KKXD,2021-06-11
KNXD,2021-06-11
TPXD,2021-06-11
MTXD,2021-06-11
CPXD,2021-06-11
NCXD,2021-06-11
NFXD,2021-06-11
TLXD,2021-06-11
GLXD,2021-06-11
TPXD,2021-06-14
CPXD,2021-06-14
TLXD,2021-06-14
MTXD,2021-06-14
MKXD,2021-06-14
MCXD,2021-06-14
KNXD,2021-06-14
KKXD,2021-06-14
GLXD,2021-06-14
NFXD,2021-06-14
NCXD,2021-06-14
TPXD,2021-06-15
KNXD,2021-06-15
MKXD,2021-06-15
NFXD,2021-06-15
MCXD,2021-06-15
NCXD,2021-06-15
GLXD,2021-06-15
KKXD,2021-06-15
MTXD,2021-06-15
TLXD,2021-06-15
CPXD,2021-06-15
NCXD,2021-06-16
MKXD,2021-06-16
TLXD,2021-06-16
KKXD,2021-06-16
MTXD,2021-06-16
TPXD,2021-06-16
CPXD,2021-06-16
KNXD,2021-06-16
MCXD,2021-06-16
NFXD,2021-06-16
GLXD,2021-06-16
TPXD,2021-06-17
MKXD,2021-06-17
MTXD,2021-06-17
NFXD,2021-06-17
CPXD,2021-06-17
KKXD,2021-06-17
MCXD,2021-06-17
TLXD,2021-06-17
NCXD,2021-06-17
GLXD,2021-06-17
KNXD,2021-06-17
UVWF,2021-06-18
MNOF,2021-06-18
JKLF,2021-06-18
NFXD,2021-06-18
MCXD,2021-06-18
CPXD,2021-06-18
GHIF,2021-06-18
KKXD,2021-06-18
MTXD,2021-06-18
QRSTF,2021-06-18
NCXD,2021-06-18
MKXD,2021-06-18
XYZF,2021-06-18
KNXD,2021-06-18
DEFF,2021-06-18
TLXD,2021-06-18
TPXD,2021-06-18
ABCF,2021-06-18
GLXD,2021-06-18
KNXD,2021-06-21
MTXD,2021-06-21
TLXD,2021-06-21
TPXD,2021-06-21
MCXD,2021-06-21
MKXD,2021-06-21
NCXD,2021-06-21
GLXD,2021-06-21
KKXD,2021-06-21
NFXD,2021-06-21
CPXD,2021-06-21
NCXD,2021-06-22
KNXD,2021-06-22
CPXD,2021-06-22
GLXD,2021-06-22
MTXD,2021-06-22
TLXD,2021-06-22
NFXD,2021-06-22
TPXD,2021-06-22
KKXD,2021-06-22
MCXD,2021-06-22
MKXD,2021-06-22
TLXD,2021-06-23
NFXD,2021-06-23
KKXD,2021-06-23
MCXD,2021-06-23
TPXD,2021-06-23
MKXD,2021-06-23
GLXD,2021-06-23
CPXD,2021-06-23
NCXD,2021-06-23
KNXD,2021-06-23
MTXD,2021-06-23
NFXD,2021-06-24
MKXD,2021-06-24
KKXD,2021-06-24
TLXD,2021-06-24
NCXD,2021-06-24
KNXD,2021-06-24
CPXD,2021-06-24
TPXD,2021-06-24
MCXD,2021-06-24
GLXD,2021-06-24
MTXD,2021-06-24
TPXD,2021-06-25
CPXD,2021-06-25
NCXD,2021-06-25
TLXD,2021-06-25
MKXD,2021-06-25
GLXD,2021-06-25
KKXD,2021-06-25
KNXD,2021-06-25
NFXD,2021-06-25
MCXD,2021-06-25
MTXD,2021-06-25
NCXD,2021-06-28
TPXD,2021-06-28
KNXD,2021-06-28
NFXD,2021-06-28
MCXD,2021-06-28
GLXD,2021-06-28
CPXD,2021-06-28
KKXD,2021-06-28
MKXD,2021-06-28
TLXD,2021-06-28
MTXD,2021-06-28
MCXD,2021-06-29
MKXD,2021-06-29
NFXD,2021-06-29
KNXD,2021-06-29
KKXD,2021-06-29
GLXD,2021-06-29
TPXD,2021-06-29
MTXD,2021-06-29
CPXD,2021-06-29
TLXD,2021-06-29
NCXD,2021-06-29
TLXD,2021-06-30
MCXD,2021-06-30
MKXD,2021-06-30
ABCQ,2021-06-30
NFXD,2021-06-30
GLXD,2021-06-30
XYZQ,2021-06-30
KNXD,2021-06-30
CPXD,2021-06-30
UVWQ,2021-06-30
DEFQ,2021-06-30
NCXD,2021-06-30
KKXD,2021-06-30
MNOQ,2021-06-30
QRSTQ,2021-06-30
MTXD,2021-06-30
TPXD,2021-06-30
JKLQ,2021-06-30
GHIQ,2021-06-30
NFXD,2021-07-01
MKXD,2021-07-01
NCXD,2021-07-01
DEFM,2021-07-01
ABCM,2021-07-01
KNXD,2021-07-01
MTXD,2021-07-01
JKLM,2021-07-01
KKXD,2021-07-01
GHIM,2021-07-01
XYZM,2021-07-01
QRSTM,2021-07-01
TPXD,2021-07-01
CPXD,2021-07-01
TLXD,2021-07-01
MCXD,2021-07-01
UVWM,2021-07-01
MNOM,2021-07-01
GLXD,2021-07-01
MKXD,2021-07-02
DEFF,2021-07-02
GHIF,2021-07-02
GLXD,2021-07-02
QRSTF,2021-07-02
TLXD,2021-07-02
TPXD,2021-07-02
KNXD,2021-07-02
NFXD,2021-07-02
MNOF,2021-07-02
CPXD,2021-07-02
MCXD,2021-07-02
XYZF,2021-07-02
KKXD,2021-07-02
MTXD,2021-07-02
NCXD,2021-07-02
JKLF,2021-07-02
ABCF,2021-07-02
UVWF,2021-07-02
NCXD,2021-07-05
NFXD,2021-07-05
MKXD,2021-07-05
GLXD,2021-07-05
TLXD,2021-07-05
KNXD,2021-07-05
TPXD,2021-07-05
KKXD,2021-07-05
MCXD,2021-07-05
MTXD,2021-07-05
CPXD,2021-07-05
CPXD,2021-07-06
MKXD,2021-07-06
TPXD,2021-07-06
NFXD,2021-07-06
MTXD,2021-07-06
NCXD,2021-07-06
GLXD,2021-07-06
TLXD,2021-07-06
KKXD,2021-07-06
KNXD,2021-07-06
MCXD,2021-07-06
NCXD,2021-07-07
MKXD,2021-07-07
TLXD,2021-07-07
GLXD,2021-07-07
KKXD,2021-07-07
TPXD,2021-07-07
MCXD,2021-07-07
MTXD,2021-07-07
CPXD,2021-07-07
KNXD,2021-07-07
NFXD,2021-07-07
GLXD,2021-07-08
MTXD,2021-07-08
TLXD,2021-07-08
MKXD,2021-07-08
TPXD,2021-07-08
CPXD,2021-07-08
NFXD,2021-07-08
NCXD,2021-07-08
KNXD,2021-07-08
KKXD,2021-07-08
MCXD,2021-07-08
KNXD,2021-07-09
NCXD,2021-07-09
CPXD,2021-07-09
GLXD,2021-07-09
MTXD,2021-07-09
KKXD,2021-07-09
TPXD,2021-07-09
MCXD,2021-07-09
MKXD,2021-07-09
NFXD,2021-07-09
TLXD,2021-07-09
MCXD,2021-07-12
CPXD,2021-07-12
TLXD,2021-07-12
KNXD,2021-07-12
MKXD,2021-07-12
KKXD,2021-07-12
MTXD,2021-07-12
NCXD,2021-07-12
GLXD,2021-07-12
TPXD,2021-07-12
NFXD,2021-07-12
CPXD,2021-07-13
MTXD,2021-07-13
KKXD,2021-07-13
NFXD,2021-07-13
TPXD,2021-07-13
GLXD,2021-07-13
MKXD,2021-07-13
NCXD,2021-07-13
KNXD,2021-07-13
MCXD,2021-07-13
TLXD,2021-07-13
GLXD,2021-07-14
TPXD,2021-07-14
MCXD,2021-07-14
KNXD,2021-07-14
MKXD,2021-07-14
NCXD,2021-07-14
NFXD,2021-07-14
CPXD,2021-07-14
MTXD,2021-07-14
KKXD,2021-07-14
TLXD,2021-07-14
KKXD,2021-07-15
MTXD,2021-07-15
MCXD,2021-07-15
MKXD,2021-07-15
CPXD,2021-07-15
KNXD,2021-07-15
GLXD,2021-07-15
NFXD,2021-07-15
NCXD,2021-07-15
TLXD,2021-07-15
TPXD,2021-07-15
CPXD,2021-07-16
XYZF,2021-07-16
MNOF,2021-07-16
QRSTF,2021-07-16
GLXD,2021-07-16
MKXD,2021-07-16
KKXD,2021-07-16
GHIF,2021-07-16
MCXD,2021-07-16
MTXD,2021-07-16
TLXD,2021-07-16
JKLF,2021-07-16
ABCF,2021-07-16
KNXD,2021-07-16
UVWF,2021-07-16
NCXD,2021-07-16
NFXD,2021-07-16
TPXD,2021-07-16
DEFF,2021-07-16
KNXD,2021-07-19
MCXD,2021-07-19
TPXD,2021-07-19
MTXD,2021-07-19
NFXD,2021-07-19
GLXD,2021-07-19
MKXD,2021-07-19
CPXD,2021-07-19
KKXD,2021-07-19
NCXD,2021-07-19
TLXD,2021-07-19
GLXD,2021-07-20
MCXD,2021-07-20
MTXD,2021-07-20
CPXD,2021-07-20
MKXD,2021-07-20
TLXD,2021-07-20
NFXD,2021-07-20
NCXD,2021-07-20
KNXD,2021-07-20
TPXD,2021-07-20
KKXD,2021-07-20
KNXD,2021-07-21
MCXD,2021-07-21
NFXD,2021-07-21
GLXD,2021-07-21
MTXD,2021-07-21
KKXD,2021-07-21
TPXD,2021-07-21
NCXD,2021-07-21
CPXD,2021-07-21
MKXD,2021-07-21
TLXD,2021-07-21
TPXD,2021-07-22
KNXD,2021-07-22
NCXD,2021-07-22
NFXD,2021-07-22
CPXD,2021-07-22
MKXD,2021-07-22
TLXD,2021-07-22
MTXD,2021-07-22
KKXD,2021-07-22
GLXD,2021-07-22
MCXD,2021-07-22
CPXD,2021-07-23
TLXD,2021-07-23
NCXD,2021-07-23
MCXD,2021-07-23
MTXD,2021-07-23
MKXD,2021-07-23
GLXD,2021-07-23
NFXD,2021-07-23
TPXD,2021-07-23
KKXD,2021-07-23
KNXD,2021-07-23
NCXD,2021-07-26
CPXD,2021-07-26
KNXD,2021-07-26
MTXD,2021-07-26
GLXD,2021-07-26
NFXD,2021-07-26
TPXD,2021-07-26
KKXD,2021-07-26
TLXD,2021-07-26
MCXD,2021-07-26
MKXD,2021-07-26
KKXD,2021-07-27
NFXD,2021-07-27
KNXD,2021-07-27
NCXD,2021-07-27
TLXD,2021-07-27
MKXD,2021-07-27
MTXD,2021-07-27
GLXD,2021-07-27
TPXD,2021-07-27
MCXD,2021-07-27
CPXD,2021-07-27
TLXD,2021-07-28
NCXD,2021-07-28
GLXD,2021-07-28
TPXD,2021-07-28
MTXD,2021-07-28
KKXD,2021-07-28
KNXD,2021-07-28
NFXD,2021-07-28
MKXD,2021-07-28
CPXD,2021-07-28
MCXD,2021-07-28
KNXD,2021-07-29
MTXD,2021-07-29
TPXD,2021-07-29
NCXD,2021-07-29
MKXD,2021-07-29
NFXD,2021-07-29
GLXD,2021-07-29
CPXD,2021-07-29
MCXD,2021-07-29
TLXD,2021-07-29
KKXD,2021-07-29
NCXD,2021-07-30
JKLF,2021-07-30
ABCF,2021-07-30
KKXD,2021-07-30
TPXD,2021-07-30
KNXD,2021-07-30
TLXD,2021-07-30
QRSTF,2021-07-30
XYZF,2021-07-30
MKXD,2021-07-30
NFXD,2021-07-30
MNOF,2021-07-30
CPXD,2021-07-30
DEFF,2021-07-30
MTXD,2021-07-30
GLXD,2021-07-30
MCXD,2021-07-30
GHIF,2021-07-30
UVWF,2021-07-30
JKLM,2021-08-01
XYZM,2021-08-01
UVWM,2021-08-01
QRSTM,2021-08-01
MNOM,2021-08-01
DEFM,2021-08-01
ABCM,2021-08-01
GHIM,2021-08-01
KKXD,2021-08-02
MCXD,2021-08-02
MTXD,2021-08-02
GLXD,2021-08-02
CPXD,2021-08-02
NFXD,2021-08-02
TLXD,2021-08-02
MKXD,2021-08-02
TPXD,2021-08-02
NCXD,2021-08-02
KNXD,2021-08-02
TPXD,2021-08-03
MTXD,2021-08-03
CPXD,2021-08-03
NCXD,2021-08-03
TLXD,2021-08-03
KKXD,2021-08-03
MCXD,2021-08-03
KNXD,2021-08-03
NFXD,2021-08-03
MKXD,2021-08-03
GLXD,2021-08-03
MTXD,2021-08-04
GLXD,2021-08-04
NCXD,2021-08-04
NFXD,2021-08-04
MKXD,2021-08-04
KNXD,2021-08-04
MCXD,2021-08-04
TLXD,2021-08-04
KKXD,2021-08-04
TPXD,2021-08-04
CPXD,2021-08-04
GLXD,2021-08-05
CPXD,2021-08-05
TLXD,2021-08-05
NFXD,2021-08-05
KKXD,2021-08-05
KNXD,2021-08-05
MTXD,2021-08-05
NCXD,2021-08-05
MKXD,2021-08-05
TPXD,2021-08-05
MCXD,2021-08-05
KKXD,2021-08-06
TPXD,2021-08-06
TLXD,2021-08-06
CPXD,2021-08-06
GLXD,2021-08-06
NFXD,2021-08-06
KNXD,2021-08-06
NCXD,2021-08-06
MKXD,2021-08-06
MCXD,2021-08-06
MTXD,2021-08-06
TLXD,2021-08-09
KKXD,2021-08-09
CPXD,2021-08-09
TPXD,2021-08-09
MCXD,2021-08-09
MKXD,2021-08-09
GLXD,2021-08-09
NFXD,2021-08-09
NCXD,2021-08-09
KNXD,2021-08-09
MTXD,2021-08-09
MTXD,2021-08-10
TLXD,2021-08-10
GLXD,2021-08-10
NFXD,2021-08-10
KNXD,2021-08-10
KKXD,2021-08-10
NCXD,2021-08-10
MKXD,2021-08-10
TPXD,2021-08-10
CPXD,2021-08-10
MCXD,2021-08-10
TPXD,2021-08-11
MTXD,2021-08-11
MCXD,2021-08-11
TLXD,2021-08-11
NFXD,2021-08-11
CPXD,2021-08-11
MKXD,2021-08-11
GLXD,2021-08-11
NCXD,2021-08-11
KNXD,2021-08-11
KKXD,2021-08-11
KNXD,2021-08-12
MTXD,2021-08-12
NFXD,2021-08-12
MCXD,2021-08-12
TPXD,2021-08-12
KKXD,2021-08-12
MKXD,2021-08-12
CPXD,2021-08-12
TLXD,2021-08-12
GLXD,2021-08-12
NCXD,2021-08-12
ABCF,2021-08-13
DEFF,2021-08-13
MTXD,2021-08-13
MKXD,2021-08-13
GHIF,2021-08-13
NCXD,2021-08-13
QRSTF,2021-08-13
CPXD,2021-08-13
XYZF,2021-08-13
UVWF,2021-08-13
KKXD,2021-08-13
JKLF,2021-08-13
GLXD,2021-08-13
TPXD,2021-08-13
KNXD,2021-08-13
TLXD,2021-08-13
NFXD,2021-08-13
MNOF,2021-08-13
MCXD,2021-08-13
KNXD,2021-08-16
NCXD,2021-08-16
MCXD,2021-08-16
CPXD,2021-08-16
MKXD,2021-08-16
KKXD,2021-08-16
GLXD,2021-08-16
MTXD,2021-08-16
TLXD,2021-08-16
NFXD,2021-08-16
TPXD,2021-08-16
CPXD,2021-08-17
MTXD,2021-08-17
MCXD,2021-08-17
TPXD,2021-08-17
KNXD,2021-08-17
TLXD,2021-08-17
NCXD,2021-08-17
NFXD,2021-08-17
MKXD,2021-08-17
GLXD,2021-08-17
KKXD,2021-08-17
TPXD,2021-08-18
TLXD,2021-08-18
NFXD,2021-08-18
GLXD,2021-08-18
MTXD,2021-08-18
KKXD,2021-08-18
CPXD,2021-08-18
NCXD,2021-08-18
MKXD,2021-08-18
MCXD,2021-08-18
KNXD,2021-08-18
TLXD,2021-08-19
CPXD,2021-08-19
NCXD,2021-08-19
MTXD,2021-08-19
MKXD,2021-08-19
GLXD,2021-08-19
MCXD,2021-08-19
NFXD,2021-08-19
KNXD,2021-08-19
TPXD,2021-08-19
KKXD,2021-08-19
NCXD,2021-08-20
TLXD,2021-08-20
CPXD,2021-08-20
MCXD,2021-08-20
TPXD,2021-08-20
MKXD,2021-08-20
KNXD,2021-08-20
KKXD,2021-08-20
GLXD,2021-08-20
NFXD,2021-08-20
MTXD,2021-08-20
MCXD,2021-08-23
KNXD,2021-08-23
KKXD,2021-08-23
GLXD,2021-08-23
NFXD,2021-08-23
TPXD,2021-08-23
CPXD,2021-08-23
NCXD,2021-08-23
MTXD,2021-08-23
MKXD,2021-08-23
TLXD,2021-08-23
TLXD,2021-08-24
NFXD,2021-08-24
MTXD,2021-08-24
MCXD,2021-08-24
MKXD,2021-08-24
NCXD,2021-08-24
KNXD,2021-08-24
CPXD,2021-08-24
KKXD,2021-08-24
GLXD,2021-08-24
TPXD,2021-08-24
CPXD,2021-08-25
KKXD,2021-08-25
MKXD,2021-08-25
MCXD,2021-08-25
MTXD,2021-08-25
GLXD,2021-08-25
TPXD,2021-08-25
KNXD,2021-08-25
NCXD,2021-08-25
NFXD,2021-08-25
TLXD,2021-08-25
KNXD,2021-08-26
NCXD,2021-08-26
MTXD,2021-08-26
TLXD,2021-08-26
CPXD,2021-08-26
GLXD,2021-08-26
MCXD,2021-08-26
MKXD,2021-08-26
NFXD,2021-08-26
TPXD,2021-08-26
KKXD,2021-08-26
JKLF,2021-08-27
UVWF,2021-08-27
DEFF,2021-08-27
GLXD,2021-08-27
XYZF,2021-08-27
MCXD,2021-08-27
GHIF,2021-08-27
CPXD,2021-08-27
KNXD,2021-08-27
NFXD,2021-08-27
TLXD,2021-08-27
MKXD,2021-08-27
ABCF,2021-08-27
MTXD,2021-08-27
QRSTF,2021-08-27
KKXD,2021-08-27
NCXD,2021-08-27
MNOF,2021-08-27
TPXD,2021-08-27
KKXD,2021-08-30
CPXD,2021-08-30
MCXD,2021-08-30
NCXD,2021-08-30
MTXD,2021-08-30
GLXD,2021-08-30
KNXD,2021-08-30
MKXD,2021-08-30
TPXD,2021-08-30
TLXD,2021-08-30
NFXD,2021-08-30
MKXD,2021-08-31
GLXD,2021-08-31
MCXD,2021-08-31
NCXD,2021-08-31
CPXD,2021-08-31
KNXD,2021-08-31
KKXD,2021-08-31
TPXD,2021-08-31
NFXD,2021-08-31
MTXD,2021-08-31
TLXD,2021-08-31
TLXD,2021-09-01
ABCM,2021-09-01
NFXD,2021-09-01
GLXD,2021-09-01
MKXD,2021-09-01
DEFM,2021-09-01
KNXD,2021-09-01
MNOM,2021-09-01
JKLM,2021-09-01
MTXD,2021-09-01
QRSTM,2021-09-01
UVWM,2021-09-01
CPXD,2021-09-01
MCXD,2021-09-01
NCXD,2021-09-01
KKXD,2021-09-01
GHIM,2021-09-01
TPXD,2021-09-01
XYZM,2021-09-01
TLXD,2021-09-02
MKXD,2021-09-02
NCXD,2021-09-02
KKXD,2021-09-02
GLXD,2021-09-02
CPXD,2021-09-02
TPXD,2021-09-02
KNXD,2021-09-02
MCXD,2021-09-02
NFXD,2021-09-02
MTXD,2021-09-02
TLXD,2021-09-03
KKXD,2021-09-03
KNXD,2021-09-03
TPXD,2021-09-03
MTXD,2021-09-03
GLXD,2021-09-03
NFXD,2021-09-03
MKXD,2021-09-03
NCXD,2021-09-03
CPXD,2021-09-03
MCXD,2021-09-03
MKXD,2021-09-06
TPXD,2021-09-06
NFXD,2021-09-06
KKXD,2021-09-06
TLXD,2021-09-06
NCXD,2021-09-06
MCXD,2021-09-06
CPXD,2021-09-06
MTXD,2021-09-06
GLXD,2021-09-06
KNXD,2021-09-06
GLXD,2021-09-07
MKXD,2021-09-07
TLXD,2021-09-07
KKXD,2021-09-07
MTXD,2021-09-07
TPXD,2021-09-07
CPXD,2021-09-07
NCXD,2021-09-07
MCXD,2021-09-07
KNXD,2021-09-07
NFXD,2021-09-07
NCXD,2021-09-08
KKXD,2021-09-08
GLXD,2021-09-08
CPXD,2021-09-08
MTXD,2021-09-08
TLXD,2021-09-08
MKXD,2021-09-08
MCXD,2021-09-08
KNXD,2021-09-08
NFXD,2021-09-08
TPXD,2021-09-08
CPXD,2021-09-09
MKXD,2021-09-09
NCXD,2021-09-09
NFXD,2021-09-09
GLXD,2021-09-09
MCXD,2021-09-09
TLXD,2021-09-09
KNXD,2021-09-09
MTXD,2021-09-09
KKXD,2021-09-09
TPXD,2021-09-09
NFXD,2021-09-10
GLXD,2021-09-10
TLXD,2021-09-10
MNOF,2021-09-10
CPXD,2021-09-10
KNXD,2021-09-10
GHIF,2021-09-10
MTXD,2021-09-10
MCXD,2021-09-10
TPXD,2021-09-10
ABCF,2021-09-10
QRSTF,2021-09-10
MKXD,2021-09-10
JKLF,2021-09-10
UVWF,2021-09-10
NCXD,2021-09-10
KKXD,2021-09-10
DEFF,2021-09-10
XYZF,2021-09-10
MKXD,2021-09-13
NFXD,2021-09-13
GLXD,2021-09-13
MCXD,2021-09-13
NCXD,2021-09-13
MTXD,2021-09-13
TPXD,2021-09-13
CPXD,2021-09-13
KNXD,2021-09-13
KKXD,2021-09-13
TLXD,2021-09-13
GLXD,2021-09-14
CPXD,2021-09-14
TPXD,2021-09-14
NCXD,2021-09-14
NFXD,2021-09-14
KKXD,2021-09-14
MCXD,2021-09-14
MKXD,2021-09-14
MTXD,2021-09-14
TLXD,2021-09-14
KNXD,2021-09-14
KKXD,2021-09-15
MTXD,2021-09-15
TPXD,2021-09-15
NCXD,2021-09-15
GLXD,2021-09-15
MCXD,2021-09-15
TLXD,2021-09-15
CPXD,2021-09-15
MKXD,2021-09-15
KNXD,2021-09-15
NFXD,2021-09-15
NCXD,2021-09-16
MKXD,2021-09-16
CPXD,2021-09-16
TPXD,2021-09-16
KKXD,2021-09-16
KNXD,2021-09-16
NFXD,2021-09-16
MCXD,2021-09-16
GLXD,2021-09-16
MTXD,2021-09-16
TLXD,2021-09-16
NCXD,2021-09-17
TPXD,2021-09-17
NFXD,2021-09-17
CPXD,2021-09-17
MKXD,2021-09-17
KNXD,2021-09-17
TLXD,2021-09-17
MCXD,2021-09-17
GLXD,2021-09-17
MTXD,2021-09-17
KKXD,2021-09-17
GLXD,2021-09-20
NCXD,2021-09-20
CPXD,2021-09-20
TPXD,2021-09-20
TLXD,2021-09-20
NFXD,2021-09-20
MTXD,2021-09-20
MCXD,2021-09-20
KKXD,2021-09-20
KNXD,2021-09-20
MKXD,2021-09-20
KNXD,2021-09-21
MTXD,2021-09-21
GLXD,2021-09-21
NCXD,2021-09-21
NFXD,2021-09-21
MKXD,2021-09-21
MCXD,2021-09-21
TLXD,2021-09-21
KKXD,2021-09-21
CPXD,2021-09-21
TPXD,2021-09-21
MKXD,2021-09-22
NCXD,2021-09-22
KNXD,2021-09-22
TPXD,2021-09-22
MCXD,2021-09-22
TLXD,2021-09-22
MTXD,2021-09-22
CPXD,2021-09-22
NFXD,2021-09-22
GLXD,2021-09-22
KKXD,2021-09-22
MCXD,2021-09-23
CPXD,2021-09-23
TPXD,2021-09-23
KNXD,2021-09-23
NCXD,2021-09-23
MTXD,2021-09-23
NFXD,2021-09-23
GLXD,2021-09-23
